fips,name,type,totalvote2016,democrat2016,republican2016,others2016,write_ins2016,none_of_these_candidates2016
4013,Maricopa,County,1567834,702907,747361,98706,18860,0
4015,Mohave,County,79943,17455,58282,3608,598,0
4017,Navajo,County,40294,16459,20577,2614,644,0
4019,Pima,County,421640,224661,167428,24314,5237,0
4021,Pinal,County,129546,47892,72819,7535,1300,0
4023,Santa Cr,County,16433,11690,3897,700,146,0
4025,Yavapai,County,114450,35590,71330,6234,1296,0
4027,Yuma,County,53010,24605,25165,2643,597,0
5001,Arkansas,County,6212,1939,3826,447,0,0
5003,Ashley,County,8083,2408,5338,337,0,0
5005,Baxter,County,19766,4169,14682,915,0,0
5007,Benton,County,96824,28005,60871,7948,0,0
5009,Boone,County,16111,2926,12235,950,0,0
5011,Bradley,County,3653,1317,2164,172,0,0
5013,Calhoun,County,2269,639,1556,74,0,0
5015,Carroll,County,10758,3342,6786,630,0,0
5017,Chicot,County,4176,2350,1716,110,0,0
5019,Clark,County,8526,3620,4404,502,0,0
5021,Clay,County,5200,1199,3781,220,0,0
5023,Cleburne,County,12085,2101,9458,526,0,0
5025,Clevelan,County,3354,723,2462,169,0,0
5027,Columbia,County,8887,3140,5456,291,0,0
5029,Conway,County,7927,2656,4849,422,0,0
5031,Craighea,County,35573,10538,22892,2143,0,0
5033,Crawford,County,22450,4488,16686,1276,0,0
5035,Crittend,County,15952,8410,6964,578,0,0
5037,Cross,County,6874,1999,4584,291,0,0
5039,Dallas,County,2771,1165,1509,97,0,0
5041,Desha,County,4257,2228,1919,110,0,0
5043,Drew,County,6595,2365,3968,262,0,0
5045,Faulkner,County,47527,14629,29346,3552,0,0
5047,Franklin,County,6770,1376,5039,355,0,0
5049,Fulton,County,4772,1067,3471,234,0,0
5051,Garland,County,40805,12311,26087,2407,0,0
5053,Grant,County,7445,1373,5725,347,0,0
5055,Greene,County,14600,3071,10720,809,0,0
5057,Hempstea,County,7049,2377,4401,271,0,0
5059,Hot Spri,County,11944,3149,8172,623,0,0
5061,Howard,County,4674,1351,3157,166,0,0
5063,Independ,County,13614,2881,9936,797,0,0
5065,Izard,County,5448,1113,4042,293,0,0
5067,Jackson,County,5156,1583,3267,306,0,0
5069,Jefferso,County,25894,15772,9250,872,0,0
5071,Johnson,County,9112,2427,6091,594,0,0
5073,Lafayett,County,2860,1032,1758,70,0,0
5075,Lawrence,County,5685,1263,4064,358,0,0
5077,Lee,County,3026,1735,1229,62,0,0
5079,Lincoln,County,3826,1252,2455,119,0,0
5081,Little R,County,5227,1397,3605,225,0,0
5083,Logan,County,7921,1715,5746,460,0,0
5085,Lonoke,County,27100,5664,19958,1478,0,0
5087,Madison,County,6841,1588,4928,325,0,0
5089,Marion,County,7107,1434,5336,337,0,0
5091,Miller,County,16091,4273,11294,524,0,0
5093,Mississi,County,13204,5670,7061,473,0,0
5095,Monroe,County,2884,1312,1489,83,0,0
5097,Montgome,County,3559,748,2643,168,0,0
5099,Nevada,County,3246,1157,2000,89,0,0
5101,Newton,County,3753,699,2875,179,0,0
5103,Ouachita,County,9935,4321,5351,263,0,0
5105,Perry,County,4306,1049,3008,249,0,0
5107,Phillips,County,6953,4310,2446,197,0,0
5109,Pike,County,3981,685,3150,146,0,0
5111,Poinsett,County,7722,1880,5502,340,0,0
5113,Polk,County,8231,1212,6618,401,0,0
5115,Pope,County,22569,5000,16256,1313,0,0
5117,Prairie,County,3444,814,2505,125,0,0
5119,Pulaski,County,159776,89574,61257,8945,0,0
5121,Randolph,County,6379,1425,4509,445,0,0
5123,St. Fran,County,7430,4031,3195,204,0,0
5125,Saline,County,52100,13256,35863,2981,0,0
5127,Scott,County,3510,602,2731,177,0,0
5129,Searcy,County,3728,601,2955,172,0,0
5131,Sebastia,County,44637,12300,29127,3210,0,0
5133,Sevier,County,4562,1075,3282,205,0,0
5135,Sharp,County,7249,1472,5407,370,0,0
5137,Stone,County,5618,1203,4113,302,0,0
5139,Union,County,16894,5855,10456,583,0,0
5141,Van Bure,County,7339,1549,5382,408,0,0
5143,Washingt,County,81861,33366,41476,7019,0,0
5145,White,County,27999,5170,21077,1752,0,0
5147,Woodruff,County,2571,1118,1347,106,0,0
5149,Yell,County,6439,1480,4608,351,0,0
6001,Alameda,County,659543,514842,95922,39296,9483,0
6003,Alpine,County,602,334,217,50,1,0
6005,Amador,County,17963,6004,10485,1145,329,0
6007,Butte,County,97002,41567,45144,8071,2220,0
6009,Calavera,County,23531,7944,13511,1606,470,0
6011,Colusa,County,6697,2661,3551,396,89,0
6013,Contra C,County,473014,319287,115956,27728,10043,0
6015,Del Nort,County,9558,3485,5134,800,139,0
6017,El Dorad,County,95149,36404,49247,7227,2271,0
6019,Fresno,County,287062,141341,124049,15512,6160,0
6021,Glenn,County,9470,3065,5788,559,58,0
6023,Humboldt,County,60014,33200,18373,6409,2032,0
6025,Imperial,County,48091,32667,12704,2429,291,0
6027,Inyo,County,8179,3155,4248,617,159,0
6029,Kern,County,244163,98689,129584,14691,1199,0
6031,Kings,County,34310,13617,18093,2090,510,0
6033,Lake,County,24684,11500,10603,2183,398,0
6035,Lassen,County,10699,2224,7574,674,227,0
6037,Los Ange,County,3434308,2464364,769743,192477,7724,0
6039,Madera,County,43507,17029,23357,2543,578,0
6041,Marin,County,140683,108707,21771,7899,2306,0
6043,Mariposa,County,8877,3122,5185,570,0,0
6045,Mendocin,County,37915,22079,10888,3721,1227,0
6047,Merced,County,71127,37317,28725,4241,844,0
6049,Modoc,County,3843,877,2696,196,74,0
6051,Mono,County,5281,2773,2111,390,7,0
6053,Monterey,County,133408,89088,34895,8400,1025,0
6055,Napa,County,61372,39199,17411,4177,585,0
6057,Nevada,County,54935,26053,23365,4832,685,0
6059,Orange,County,1197521,609961,507148,74173,6239,0
6061,Placer,County,186024,73509,95138,13060,4317,0
6063,Plumas,County,9850,3459,5420,677,294,0
6065,Riversid,County,751391,373695,333243,41066,3387,0
6067,Sacramen,County,562285,326023,189789,39089,7384,0
6069,San Beni,County,22122,12521,7841,1404,356,0
6071,San Bern,County,653983,340833,271240,37359,4551,0
6073,San Dieg,County,1311618,735476,477766,82903,15473,0
6075,San Fran,County,408541,345084,37688,20999,4770,0
6077,San Joaq,County,227002,121124,88936,12734,4208,0
6079,San Luis,County,137202,67107,56164,10465,3466,0
6081,San Mate,County,314384,237882,57929,16414,2159,0
6083,Santa Ba,County,178878,107142,56365,11913,3458,0
6085,Santa Cl,County,703709,511684,144826,43133,4066,0
6087,Santa Cr,County,130012,95249,22438,9739,2586,0
6089,Shasta,County,81024,22301,51778,5454,1491,0
6091,Sierra,County,1858,601,1048,161,48,0
6093,Siskiyou,County,20493,7234,11341,1648,270,0
6095,Solano,County,168150,102360,51920,10396,3474,0
6097,Sonoma,County,233303,160435,51408,17575,3885,0
6099,Stanisla,County,174406,81647,78494,10821,3444,0
6101,Sutter,County,33824,13076,18176,2151,421,0
6103,Tehama,County,23908,6809,15494,1466,139,0
6105,Trinity,County,5784,2214,2812,580,178,0
6107,Tulare,County,114102,47585,58299,6224,1994,0
6109,Tuolumne,County,25893,9123,14551,1619,600,0
6111,Ventura,County,356107,194402,132323,22970,6412,0
6113,Yolo,County,82090,54752,20739,5755,844,0
6115,Yuba,County,22998,7910,13170,1780,138,0
8001,Adams,County,193677,96558,80082,17025,12,0
8003,Alamosa,County,6939,3189,3046,704,0,0
8005,Arapahoe,County,303048,159885,117053,26108,2,0
8007,Archulet,County,7339,2500,4264,575,0,0
8009,Baca,County,2153,283,1753,117,0,0
8011,Bent,County,1927,590,1188,149,0,0
8013,Boulder,County,188145,132334,41396,14412,3,0
8014,Broomfie,County,37690,19731,14367,3591,1,0
8015,Chaffee,County,11250,4888,5391,971,0,0
8017,Cheyenne,County,1102,132,925,45,0,0
8019,Clear Cr,County,5866,2729,2575,562,0,0
8021,Conejos,County,4022,1771,1914,337,0,0
8023,Costilla,County,1848,1125,588,135,0,0
8025,Crowley,County,1527,339,1079,109,0,0
8027,Custer,County,3066,797,2061,208,0,0
8029,Delta,County,16790,4087,11655,1048,0,0
8031,Denver,County,331852,244551,62690,24611,0,0
8033,Dolores,County,1255,242,944,69,0,0
8035,Douglas,County,187500,68657,102573,16269,1,0
8037,Eagle,County,25223,14099,8990,2134,0,0
